,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Nawalapitiya,LK,68.92,overcast clouds,7.0559,80.5348,Binara Villa
10,Chuy,UY,67.21,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
14,Necochea,AR,66.78,clear sky,-38.5473,-58.7368,dyd -mar Hotel
28,East London,ZA,65.34,few clouds,-33.0153,27.9116,Tu Casa
55,Batangafo,CF,69.06,overcast clouds,7.3008,18.2833,OCHA Office
56,Castro,BR,65.1,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
59,Springbok,ZA,67.84,clear sky,-29.6643,17.8865,Undulata Country Lodge
62,Lashio,MM,65.64,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
87,Port Hedland,AU,69.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
98,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
129,Namibe,AO,66.31,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
133,Marawi,PH,69.69,overcast clouds,7.9986,124.2928,Derogongan Residence
147,Sciacca,IT,70.0,broken clouds,37.5082,13.0881,Hotel Aliai
149,Puerto Madryn,AR,66.11,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
156,Muros,ES,67.08,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
176,Lufilufi,WS,69.58,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
207,Shimoda,JP,65.03,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
208,Mahanoro,MG,67.24,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
221,Cidreira,BR,69.48,scattered clouds,-30.1811,-50.2056,Hotel Castelo
268,Yafran,LY,66.83,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
291,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
297,Melfi,IT,65.1,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
347,Karaj,IR,68.52,clear sky,35.8355,51.0103,MarMar Hotel
350,Carnarvon,AU,66.06,clear sky,-24.8667,113.6333,Hospitality Carnarvon
358,Sete,FR,66.94,overcast clouds,43.4018,3.6966,Hotel de Paris Sète
361,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
390,Sawtell,AU,66.22,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
400,Taltal,CL,65.48,few clouds,-25.4,-70.4833,Residencial Karime
405,Miguel Auza,MX,65.41,overcast clouds,24.2933,-103.4503,Hotel Del Centro
418,Faya,SA,69.91,scattered clouds,18.3851,42.4509,شيلة نسايم
424,Ballina,AU,65.01,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
444,Portland,US,69.69,fog,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
464,Hondo,JP,67.28,overcast clouds,32.45,130.2,ホテル河丁
499,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
515,Erzin,TR,69.04,broken clouds,36.9559,36.2,Artemis Otel
519,Yei,SS,68.32,moderate rain,4.095,30.6779,Twins Hotel Yei
562,Teyateyaneng,LS,65.68,scattered clouds,-29.1472,27.7489,Blue Mountain Inn
564,Hirado,JP,65.39,overcast clouds,33.3597,129.5531,Samson Hotel
576,Jasper,US,69.06,scattered clouds,37.2001,-94.3502,Guest House Motel
580,Akom,CM,68.05,light rain,2.6678,12.7109,Complexe Hôtelier Jeannette
597,Shenjiamen,CN,66.34,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
613,Nombre De Dios,MX,67.64,overcast clouds,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
624,Kathmandu,NP,66.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
627,Miguel Hidalgo,MX,66.58,overcast clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
637,Luderitz,,65.64,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
656,Kadoma,JP,67.98,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
675,Pacific Grove,US,69.82,scattered clouds,36.6177,-121.9166,Lovers Point Inn
678,San Sebastian,ES,67.84,scattered clouds,43.3128,-1.975,Hotel de Londres y de Inglaterra
686,Maneadero,MX,69.1,clear sky,31.7167,-116.5667,Casa De Thompson
